ticker,company,collect_date,window_type,earnings_date,offset_from_ed,source_event_ticker
TSLA,Tesla,2022-10-24,sentiment_spillover,2022-10-27,-3,AAPL
MSFT,Microsoft,2022-10-23,sentiment_spillover,2022-10-27,-4,AAPL
GOOGL,Alphabet,2022-10-23,sentiment_spillover,2022-10-27,-4,AAPL
AMZN,Amazon,2022-10-23,sentiment_spillover,2022-10-27,-4,AAPL
NVDA,NVIDIA,2022-10-23,sentiment_spillover,2022-10-27,-4,AAPL
META,Meta,2022-10-23,sentiment_spillover,2022-10-27,-4,AAPL
TSLA,Tesla,2022-10-23,sentiment_spillover,2022-10-27,-4,AAPL
MSFT,Microsoft,2022-10-22,sentiment_spillover,2022-10-27,-5,AAPL
GOOGL,Alphabet,2022-10-22,sentiment_spillover,2022-10-27,-5,AAPL
AMZN,Amazon,2022-10-22,sentiment_spillover,2022-10-27,-5,AAPL
NVDA,NVIDIA,2022-10-22,sentiment_spillover,2022-10-27,-5,AAPL
META,Meta,2022-10-22,sentiment_spillover,2022-10-27,-5,AAPL
TSLA,Tesla,2022-10-22,sentiment_spillover,2022-10-27,-5,AAPL
MSFT,Microsoft,2022-10-21,sentiment_spillover,2022-10-27,-6,AAPL
GOOGL,Alphabet,2022-10-21,sentiment_spillover,2022-10-27,-6,AAPL
AMZN,Amazon,2022-10-21,sentiment_spillover,2022-10-27,-6,AAPL
NVDA,NVIDIA,2022-10-21,sentiment_spillover,2022-10-27,-6,AAPL
META,Meta,2022-10-21,sentiment_spillover,2022-10-27,-6,AAPL
TSLA,Tesla,2022-10-21,sentiment_spillover,2022-10-27,-6,AAPL
MSFT,Microsoft,2022-10-20,sentiment_spillover,2022-10-27,-7,AAPL
GOOGL,Alphabet,2022-10-20,sentiment_spillover,2022-10-27,-7,AAPL
AMZN,Amazon,2022-10-20,sentiment_spillover,2022-10-27,-7,AAPL
NVDA,NVIDIA,2022-10-20,sentiment_spillover,2022-10-27,-7,AAPL
META,Meta,2022-10-20,sentiment_spillover,2022-10-27,-7,AAPL
TSLA,Tesla,2022-10-20,sentiment_spillover,2022-10-27,-7,AAPL
MSFT,Microsoft,2022-09-27,quiet_spillover,2022-10-27,-30,AAPL
GOOGL,Alphabet,2022-09-27,quiet_spillover,2022-10-27,-30,AAPL
AMZN,Amazon,2022-09-27,quiet_spillover,2022-10-27,-30,AAPL
NVDA,NVIDIA,2022-09-27,quiet_spillover,2022-10-27,-30,AAPL
META,Meta,2022-09-27,quiet_spillover,2022-10-27,-30,AAPL
TSLA,Tesla,2022-09-27,quiet_spillover,2022-10-27,-30,AAPL
MSFT,Microsoft,2022-09-26,quiet_spillover,2022-10-27,-31,AAPL
GOOGL,Alphabet,2022-09-26,quiet_spillover,2022-10-27,-31,AAPL
AMZN,Amazon,2022-09-26,quiet_spillover,2022-10-27,-31,AAPL
NVDA,NVIDIA,2022-09-26,quiet_spillover,2022-10-27,-31,AAPL
META,Meta,2022-09-26,quiet_spillover,2022-10-27,-31,AAPL
TSLA,Tesla,2022-09-26,quiet_spillover,2022-10-27,-31,AAPL
MSFT,Microsoft,2022-09-25,quiet_spillover,2022-10-27,-32,AAPL
GOOGL,Alphabet,2022-09-25,quiet_spillover,2022-10-27,-32,AAPL
AMZN,Amazon,2022-09-25,quiet_spillover,2022-10-27,-32,AAPL
NVDA,NVIDIA,2022-09-25,quiet_spillover,2022-10-27,-32,AAPL
META,Meta,2022-09-25,quiet_spillover,2022-10-27,-32,AAPL
TSLA,Tesla,2022-09-25,quiet_spillover,2022-10-27,-32,AAPL
MSFT,Microsoft,2022-09-24,quiet_spillover,2022-10-27,-33,AAPL
GOOGL,Alphabet,2022-09-24,quiet_spillover,2022-10-27,-33,AAPL
AMZN,Amazon,2022-09-24,quiet_spillover,2022-10-27,-33,AAPL
NVDA,NVIDIA,2022-09-24,quiet_spillover,2022-10-27,-33,AAPL
META,Meta,2022-09-24,quiet_spillover,2022-10-27,-33,AAPL
TSLA,Tesla,2022-09-24,quiet_spillover,2022-10-27,-33,AAPL
MSFT,Microsoft,2022-09-23,quiet_spillover,2022-10-27,-34,AAPL
GOOGL,Alphabet,2022-09-23,quiet_spillover,2022-10-27,-34,AAPL
AMZN,Amazon,2022-09-23,quiet_spillover,2022-10-27,-34,AAPL
NVDA,NVIDIA,2022-09-23,quiet_spillover,2022-10-27,-34,AAPL
META,Meta,2022-09-23,quiet_spillover,2022-10-27,-34,AAPL
TSLA,Tesla,2022-09-23,quiet_spillover,2022-10-27,-34,AAPL
MSFT,Microsoft,2022-09-22,quiet_spillover,2022-10-27,-35,AAPL
GOOGL,Alphabet,2022-09-22,quiet_spillover,2022-10-27,-35,AAPL
AMZN,Amazon,2022-09-22,quiet_spillover,2022-10-27,-35,AAPL
NVDA,NVIDIA,2022-09-22,quiet_spillover,2022-10-27,-35,AAPL
META,Meta,2022-09-22,quiet_spillover,2022-10-27,-35,AAPL
TSLA,Tesla,2022-09-22,quiet_spillover,2022-10-27,-35,AAPL
MSFT,Microsoft,2022-09-21,quiet_spillover,2022-10-27,-36,AAPL
GOOGL,Alphabet,2022-09-21,quiet_spillover,2022-10-27,-36,AAPL
AMZN,Amazon,2022-09-21,quiet_spillover,2022-10-27,-36,AAPL
NVDA,NVIDIA,2022-09-21,quiet_spillover,2022-10-27,-36,AAPL
META,Meta,2022-09-21,quiet_spillover,2022-10-27,-36,AAPL
TSLA,Tesla,2022-09-21,quiet_spillover,2022-10-27,-36,AAPL
MSFT,Microsoft,2022-09-20,quiet_spillover,2022-10-27,-37,AAPL
GOOGL,Alphabet,2022-09-20,quiet_spillover,2022-10-27,-37,AAPL
AMZN,Amazon,2022-09-20,quiet_spillover,2022-10-27,-37,AAPL
NVDA,NVIDIA,2022-09-20,quiet_spillover,2022-10-27,-37,AAPL
META,Meta,2022-09-20,quiet_spillover,2022-10-27,-37,AAPL
TSLA,Tesla,2022-09-20,quiet_spillover,2022-10-27,-37,AAPL
MSFT,Microsoft,2022-07-27,sentiment_spillover,2022-07-28,-1,AAPL
GOOGL,Alphabet,2022-07-27,sentiment_spillover,2022-07-28,-1,AAPL
AMZN,Amazon,2022-07-27,sentiment_spillover,2022-07-28,-1,AAPL
NVDA,NVIDIA,2022-07-27,sentiment_spillover,2022-07-28,-1,AAPL
META,Meta,2022-07-27,sentiment_spillover,2022-07-28,-1,AAPL
TSLA,Tesla,2022-07-27,sentiment_spillover,2022-07-28,-1,AAPL
MSFT,Microsoft,2022-07-26,sentiment_spillover,2022-07-28,-2,AAPL
GOOGL,Alphabet,2022-07-26,sentiment_spillover,2022-07-28,-2,AAPL
